Pays,Ligne originale,Nom de l’agence,Téléphone de l’agence,Site web,Ville / département,Email de l’agence,Email du gérant,Critères de détection
Belgique,145,Abita IMMO,+32 2 726 89 75,http://immoabita.be/,"Av. des Cerisiers 95, 1200 Woluwe-Saint-Lambert, Belgique",,,phone+32 | site.be | address-belgique
Belgique,154,Abrimmo Estaimpuis,+32 56 55 40 00,https://www.abrimmo.be/,"Rue Jules Vantieghem 8b, 7730 Estaimpuis, Belgique",,,phone+32 | site.be | address-belgique
Suisse,184,Acheter Louer,+41 21 943 61 81,http://www.acheter-louer.ch/,"Av. de la Rasude 2, 1006 Lausanne, Suisse",,,phone+41 | site.ch | address-suisse
Belgique,265,Advanceimmo Mons,+32 492 28 80 00,https://www.advanceimmo.be/,"Rue des Archers 4, 7000 Mons, Belgique",,,phone+32 | site.be | address-belgique
Suisse,269,AE Schmid SA,+41 22 860 27 37,http://www.aeschmid.ch/,"Chem. de la Seymaz 60, 1253 Vandœuvres, Suisse",,,phone+41 | site.ch | address-suisse
Belgique,289,AG Immobilière,+32 4 233 55 55,http://www.agimmobiliere.be/,"Chau. de Tongres 325, 4000 Liège, Belgique",,,phone+32 | site.be | address-belgique
Suisse,295,AGCI Immobilier,+41 79 504 65 48,http://www.agci.ch/,"Avenue Vibert 13, CP 1402, 1227 Carouge, Suisse",,gallo@agci.ch,phone+41 | site.ch | address-suisse | reference-email
Suisse,631,Agence Domus SA,+41 27 771 69 69,http://www.agencedomus.ch/,"Rte des Creux 24, 1936 Verbier, Suisse",,,phone+41 | site.ch | address-suisse
Belgique,702,Agence Dupont Immobilier,+32 69 40 73 80,http://www.dupontimmo.be/,"Grand'Place 27, 7500 Tournai, Belgique",,,phone+32 | site.be | address-belgique
Belgique,752,Agence Génération Immo,+32 10 68 81 22,https://www.generationimmo.be/,"Bd du Centenaire 2, 1325 Chaumont-Gistoux, Belgique",,,phone+32 | site.be | address-belgique
Belgique,1127,Agence Immobilière Le Lion - Bruxelles,+32 2 672 71 11,https://www.immo-lelion.be/,"Av. Delleur 8, 1170 Bruxelles, Belgique",,,phone+32 | site.be | address-belgique
Belgique,1258,Agence Immobilière TRIOR Louise,+32 2 640 22 35,https://www.trior.be/agence-immobiliere-louise,"Av. Louise 523, 1050 Bruxelles, Belgique",,,phone+32 | site.be | address-belgique
Belgique,1660,AIM ｜Agence Immobilière Montoise,+32 65 31 83 23,http://www.agenceaim.be/,"Rue de Bertaimont 42, 7000 Mons, Belgique",,,phone+32 | site.be | address-belgique
Suisse,1727,AllianceImmo Suisse,+41 24 454 10 84,http://allianceimmo.ch/,"Rue du Franc-Castel 10, 1454 L' AUBERSON, Suisse",,david@davidimmo.info,phone+41 | site.ch | address-suisse | reference-email
Suisse,1728,AllianceImmo Suisse Sàrl,+41 24 454 10 84,http://allianceimmo.ch/,"Rue du Franc-Castel 10, 1454 L' AUBERSON, Suisse",,,phone+41 | site.ch | address-suisse
Suisse,1788,Amma Immo,,,,,jeanpierre.tolo@yades.immo,reference-email
Suisse,1842,Apleona,,,,,michael.rohner@apleona.com,reference-email
Belgique,1922,Aryès Immobilier,,,,,anouk.renard@aryes.be,reference-email
Belgique,1957,Atimmo,+32 2 331 55 10,http://www.atimmo.be/,"Rue Marguerite Bervoets 60, 1190 Bruxelles, Belgique",,,phone+32 | site.be | address-belgique
Belgique,2016,Avenir Immobilier,+33 5 63 38 50 40,http://www.immo-avenir.com/,"18 Rue Dr Laurent Camboulives, 81000 Albi, France",,david@avenir-immobilier.be,reference-email
Suisse,2072,B. Mooser Immobilier SA,,,,contact@bm-immo.ch,,reference-email
Suisse,2106,BARNES | Lugano,,,,,lugano@barnes-international.com,reference-email
Suisse,2121,Bay Invest Sàrl,+41 79 355 29 73,http://bayinvest.ch/,"Rue de Saint-Guérin 30, 1950 Sion, Suisse",,,phone+41 | site.ch | address-suisse
Suisse,2125,BC IMMO,+33 1 44 75 38 84,https://www.immobc.com/,"4 Rue Théophile Roussel, 75012 Paris, France",,jf@bcimmo.ch,reference-email
Belgique,2133,BDG immo,,,,,benjamin@bdgimmo.be,reference-email
Suisse,2189,BETTERHOMES,,,,,cyrill.lanz@betterhomes-international.com,reference-email
Belgique,2289,Brick,,,,,henry@brick.immo,reference-email
Belgique,2693,CAMIMAX,,,,,olivier@camimax.com,reference-email
Belgique,2711,CAP SUD,+33 4 94 17 48 05,http://www.cap-immosud.fr/,"370 Av. lou Gabian, 83600 Fréjus, France",,alessandro.santoro@cap-sud.com,reference-email
Belgique,2795,CD CONSULT L'IMMOBILIERE SRL,+32 4 222 21 21,http://www.cdconsult.be/,"Av. Laboulle 32, 4130 Esneux, Belgique",,,phone+32 | site.be | address-belgique
Belgique,2887,Chris Home immobilier,+32 491 36 66 61,https://www.chris-home.be/,"Chau. de Dinant 1068, 5100 Namur, Belgique",,,phone+32 | site.be | address-belgique
Belgique,2901,"Cie Immobilière des Trois Frontières, Immobilier",+32 87 78 50 78,http://www.citf.be/,"Pl. du Colonel Peckham 4, 4851 Plombières, Belgique",,,phone+32 | site.be | address-belgique
Suisse,2915,cirgroup,,,,,clement.baudoin@cirgroup.ch,reference-email
Suisse,3008,comptoir-immo,,,,,epiney@comptoir-immo.ch,reference-email
Belgique,3025,CONNEXION IMMO,+33 1 77 37 10 10,http://www.connexion-immobilier.com/,"44 Bd du Général Leclerc, 92110 Clichy, France",,g.lazzaro@connexionimmo.be,reference-email
Belgique,3166,David Robin Immobilier,+32 71 81 08 88,http://www.davidrobin.be/,"Chée de Charleroi 226, 6220 Fleurus, Belgique",,,phone+32 | site.be | address-belgique
Belgique,3169,DB Properties,+32 497 25 42 38,http://www.db-properties.be/,"Rue de Mont Saint-Pont 24, 1440 Braine-le-Château, Belgique",,,phone+32 | site.be | address-belgique
Belgique,3184,Dealimmo,,,,,nicolas.pa@dealimmo.be,reference-email
Suisse,3295,Domus Realty,+41 91 966 33 55,http://www.domusrealty.com/,"Viale S. Salvatore 7, 6900 Paradiso, Suisse",,,phone+41 | address-suisse
Belgique,3328,Dupont Immobilier,+32 69 40 73 80,http://www.dupontimmo.be/,"Grand'Place 27, 7500 Tournai, Belgique",,,phone+32 | site.be | address-belgique
Belgique,3332,Duysens Immobilier,+32 84 45 52 10,http://www.duysens.be/,"Place Roi Albert 1er 31, 5580 Rochefort, Belgique",,,phone+32 | site.be | address-belgique
Belgique,3342,EasyHome- Agence immobilière Marche-en-Famenne,+32 84 77 00 43,https://www.easyhome-immo.be/,"Rue Borchamps 24, 6900 Marche-en-Famenne, Belgique",,,phone+32 | site.be | address-belgique
Belgique,3470,Espace Immo Brussels,,,,,dp@espaceimmobrussels.be,reference-email
Suisse,3492,ESTÉ HOMES SARL,,,,,sophien@este-homes.ch,reference-email
Belgique,3569,Expertissimmo SRL,,,,,julien@expertissimmo.eu,reference-email
Suisse,3597,Favre-Naudeix Immobilier,+41 79 902 84 26,https://www.favre-naudeix.ch/,"Rte André Piller 21, 1762 Givisiez, Suisse",,,phone+41 | site.ch | address-suisse
Belgique,3600,FB-IMMOBILIER / FBBC srl,+32 477 88 12 07,http://www.fb-immobilier.be/,"Rue Léon Debelle 60, 7170 Bois-d'Haine, Belgique",,,phone+32 | site.be | address-belgique
Belgique,3663,FLOW Real Property,+32 2 304 69 98,http://www.flowrealproperty.be/,"Brusselsesteenweg 106, 1850 Grimbergen, Belgique",,,phone+32 | site.be | address-belgique
Belgique,3684,FR 'n BE Immobilier,,,,contact@frnbe-immo.be,,reference-email
Suisse,3717,Froidevaux Immobilier SA,,,,,gf@froidevaux-immobilier.ch,reference-email
Suisse,3758,GARY S.A,,,,,gregory@gary.ch,reference-email
Suisse,3787,Gérances de Luze SA,+41 21 811 22 22,https://deluze.ch/,"Pl. Dufour 1, 1110 Morges, Suisse",,,phone+41 | site.ch | address-suisse
Belgique,3811,Gestion Immobilière Tournaisienne (Git),+32 69 23 40 02,https://www.git.be/,"Av. de Maire 177A, 7500 Tournai, Belgique",,,phone+32 | site.be | address-belgique
Belgique,3860,Go Invest - Real Estate,+32 2 252 01 20,http://www.go-invest.be/,"Av. des Églantiers 2B, 1180 Uccle, Belgique",,,phone+32 | site.be | address-belgique
Belgique,3877,GRAND PLACE IMMOBILIER,,,,,degeeter@grandplace.be,reference-email
Suisse,3881,GRANGE Immobilier,,,,,j.grange@grange.ch,reference-email
Suisse,3914,GROHE IMMOBILIER SA,+41 21 811 32 23,http://www.groheimmobilier.ch/,"Rue Louis de Savoie 51, 1110 Morges, Suisse",,,phone+41 | site.ch | address-suisse
Belgique,3926,GuiHome Immobilier,+32 56 94 20 48,https://www.guihome.immo/,"Rue du Faubourg 24, 7780 Comines-Warneton, Belgique",,guillaume@guihome.immo,phone+32 | address-belgique | reference-email
Suisse,4005,Helvet Conseils Immo Sàrl,,,,,leo.duarte@helvet-conseils.ch,reference-email
Belgique,4014,Henro Immobilier Mouscron,+32 56 94 34 94,http://www.henro-immo.be/,"Chau. de Gand 22, 7700 Mouscron, Belgique",,,phone+32 | site.be | address-belgique
Belgique,4018,Heritage Vastgoed BV,+32 9 227 08 90,http://heritagevastgoed.be/,"Stationsplein 5, 9880 Aalter, Belgique",,,phone+32 | site.be | address-belgique
Belgique,4024,Hervé Lebrun Immobilier,+32 496 53 93 65,https://www.hervelebrun.be/fr,"Chau. de Tirlemont 30, 4520 Wanze, Belgique",,,phone+32 | site.be | address-belgique
Belgique,4036,HexpertImmo,,,,,jha@hexpertimmo.be,reference-email
Belgique,4059,Home Consult,+32 2 731 07 07,http://www.home-consult.be/,"A. De Beusscherplein 2, 1933 Zaventem, Belgique",,,phone+32 | site.be | address-belgique
Belgique,4062,HOME EXPERT IMMO,+32 81 46 08 89,https://www.hexpertimmo.be/,"Pl. Albert 1er 9 à, 5081 La Bruyère, Belgique",,,phone+32 | site.be | address-belgique
Suisse,4069,Home Location,+41 22 512 00 92,http://www.homelocation.ch/,"Rue Voltaire 16, 1201 Genève, Suisse",,,phone+41 | site.ch | address-suisse
Belgique,4088,homea-immo,,,,,geoffroy.cassart@homeaimmo.be,reference-email
Suisse,4093,Homewell SA,,,,,nicolas.leyvraz@homewell.ch,reference-email
Belgique,4099,Honesty Rochefort - Agence Immobilière,+32 84 45 64 58,http://honestyrochefort.be/,"Ouvert 6 j sur 7 - Samedi sur RDV, Rte de Marche 25, 5580 Rochefort, Belgique",,,phone+32 | site.be | address-belgique
Suisse,4113,House Immobilier,+41 22 360 10 00,http://www.house-immobilier.ch/,"Rte de Thonon 70, 1222 Vésenaz, Suisse",,,phone+41 | site.ch | address-suisse
