Nom de l’agence,Téléphone de l’agence,Email de l’agence,Horaires,Site web,Avis,Indépendant ou Franchise,Ville / département,Gérant,Tel du gérant,Email du gérant,Source de l’agence,Source du gérant,Date de vérification
- IVL IMMOBILIER,+33 3 20 13 10 38,gestion@immobiliere-duvieuxlille.fr,"Lundi-Vendredi : 09:00-12:30, 14:00-18:00",https://www.ivl-immobilier.fr/,"Globalement positifs, mentionnant la réactivité, le professionnalisme et l'écoute. Disponibles sur Pages Jaunes, SeLoger, FNAIM et Opinion System / Google.",Indépendante,"22 Rue du Quai, 59000 Lille, France",Malory GILLES,,,Site web/leboncoin,nom: https://www.ivl-immobilier.fr/mentions-legales,2026-09-08
1000 Habitats.Com,+33 3 20 94 14 14,,,https://www.1000habitats.com/,,Indépendante,"106 Bd Clemenceau, 59510 Hem, France",,,,Site web/leboncoin,,2026-09-07
28 immo,+33 6 89 50 34 50,,,http://www.28immo.fr/,,Indépendante,"Bâtiment au fond du porche, 31 Rue de la Tonnellerie, 28000 Chartres, France",,,,Site web/leboncoin,,2026-09-07
2i Transactions,+33 6 83 81 19 65,,,https://www.2i-transactions.fr/,,Indépendante,"19 Rue Jean Jaurès, 42320 La Grand-Croix, France",,,,Site web/leboncoin,,2026-09-07
3 C Gestion Immobilière,+33 1 41 14 43 33,,,http://www.3cgestionimmo.com/,,Indépendante,"24 Bd Anatole France, 92190 Meudon, France",,,,Site web/leboncoin,,2026-09-07
3 Rois Immobilière,+33 3 89 46 03 45,,,http://www.3roisimmo.com/,,Indépendante,"2 Rue Poincaré, 68100 Mulhouse, France",,,,Site web/leboncoin,,2026-09-07
360 FRANCE IMMO,+33 1 88 24 84 85,,,https://www.360franceimmo.com/,,Indépendante,"24 Rue du Gouverneur Général Éboué, 92130 Issy-les-Moulineaux, France",,,,Site web/leboncoin,,2026-09-07
3A IMMOBILIER CALAIS,+33 3 21 46 86 86,,,https://www.3aimmobilier.fr/,,Indépendante,"21 Bd Pasteur, 62100 Calais, France",,,,Site web/leboncoin,,2026-09-07
4C Immobilier,+33 2 59 29 05 08,,,https://www.4c-immobilier.fr/,,Indépendante,"7 Av. Henri Lefeuvre, 72100 Le Mans, France",,,,Site web/leboncoin,,2026-09-07
A Mèze Immobilier,+33 4 67 51 51 51,,,https://www.immobiliermeze.com/,,Indépendante,"24 Rue Garibaldi, 34140 Mèze, France",,,,Site web/leboncoin,,2026-09-07
À VOUS L’IMMOBILIER Le Havre,+33 2 53 35 84 61,,,https://www.avlh.fr/,,Indépendante,"14 Rue des Iris, 76610 Le Havre, France",,,,Site web/leboncoin,,2026-09-07
A.C.A Agence Conseil Aulnay,+33 1 43 51 28 86,,,http://www.acaimmo.com/,,Indépendante,"155 Rue Jean Jaurès, 93470 Coubron, France",,,,Site web/leboncoin,,2026-09-07
A.I.V.B (Agence Immobilière Du Val De Bussy),+33 1 64 66 90 90,,,http://aivb.net/,,Indépendante,"12 bis Av. du Général de Gaulle, 77600 Bussy-Saint-Georges, France",,,,Site web/leboncoin,,2026-09-07
"A.I.V.S Objectif Logement, Agence Immobilière Sociale Métropole de ROUEN",+33 2 35 73 33 00,,,http://objectiflogement.fr/,,Indépendante,"11 Rue Edwin Aldrin, 76120 Le Grand-Quevilly, France",,,,Site web/leboncoin,,2026-09-07
A.IMMO 50,+33 1 71 19 70 90,,,http://www.aimmo50.com/,,Indépendante,"50 Bd Saint-Marcel, 75005 Paris, France",,,,Site web/leboncoin,,2026-09-07
A&S Péronne Immobilier,+33 4 68 25 45 39,,,http://www.asperonne-immobilier.com/,,Indépendante,"10 Av. Arthur Mullot, 11000 Carcassonne, France",,,,Site web/leboncoin,,2026-09-07
A2C Immo,+33 1 69 40 03 16,,,https://www.meilleursagents.com/agence-immobiliere/agence-a2c-immo-59531/,,Indépendante,"29 Rue Molière, 91270 Vigneux-sur-Seine, France",,,,Site web/leboncoin,,2026-09-07
AAA IMMOBILIER MALHERBE,+33 4 42 93 70 70,,,https://sites.google.com/view/aaa-immobilier-malherbe/accueil,,Indépendante,"4 TER Av. Malherbe, 13100 Aix-en-Provence, France",,,,Site web/leboncoin,,2026-09-07
ABBA GESTION,+33 4 92 18 70 70,,,http://www.abbagestion.com/,,Indépendante,"336 Chem. de Provence, 06250 Mougins, France",,,,Site web/leboncoin,,2026-09-07
Abbatial Immobilier,+33 5 55 32 98 16,,,http://www.abbatial-immobilier.com/,,Indépendante,"22 Rue de la Mauvendière, 87000 Limoges, France",,,,Site web/leboncoin,,2026-09-07
ABEL IMMOBILIER,,,,https://www.abelimmo.com/?utm_source=gmb,,Indépendante,"91 Cr National, 17100 Saintes, France",,,,Site web/leboncoin,,2026-09-07
Abelha Immobilier,+33 4 92 49 01 32,,,http://www.abelha-immo.fr/,,Indépendante,"15 Rue de Chaillol, 05500 Saint-Bonnet-en-Champsaur, France",,,,Site web/leboncoin,,2026-09-07
Abrimmo Faches Thumesnil,+33 3 20 10 57 57,,,http://www.abrimmo.fr/immobilier-faches-thumesnil.htm,,Indépendante,"32 Bis Rue Edouard Vaillant, 59155 Faches-Thumesnil, France",,,,Site web/leboncoin,,2026-09-07
Absolute Habitat,+33 5 56 12 00 19,,,https://www.absolutehabitat.com/,,Indépendante,"44 Cr de Verdun, 33000 Bordeaux, France",,,,Site web/leboncoin,,2026-09-07
AC Gest,+33 1 30 41 01 03,,,http://www.acgest.fr/,,Indépendante,"31 Rue de la Prairie, 78120 Rambouillet, France",,,,Site web/leboncoin,,2026-09-07
AC Immo,+33 4 76 26 20 87,,,http://ac-immobilier-grenoble.com/,,Indépendante,"15 Av. Jean Perrot, 38100 Grenoble, France",,,,Site web/leboncoin,,2026-09-07
AC IMMOBILIER,+33 4 76 26 20 87,, lundi au samedi de 09h00 à 19h00.,http://ac-immobilier-grenoble.com/,"Qualité de l'accompagnement : Les acheteurs comme les vendeurs mettent en avant la présence rassurante et les précieux conseils de Teddy Lemaire tout au long des transactions de recherche ou de vente.Disponibilité et réactivité : L'équipe de l'agence (notamment les conseillers comme Maelann ou Maxence) est fréquemment saluée pour sa vitesse de réponse et sa fluidité de communication.Professionnalisme juridique et technique : Les clients apprécient le sérieux de la structure, qui sécurise efficacement les projets immobiliers familiaux ou de premier achat.",Indépendante,"15 Av. Jean Perrot, 38100 Grenoble, France",Teddy Lemaire,,t.lemaire-acimmobilier@outlook.com,Site web/leboncoin,,2026-09-07
Acasa Immobilier,+33 4 91 24 96 62,,,http://acasaimmo.fr/,,Indépendante,"58 Rue Emile Zola, 13009 Marseille, France",,,,Site web/leboncoin,,2026-09-07
ACB Immobilier,+33 1 48 47 28 09,,,http://www.acbimmobilier.com/,,Indépendante,"60 Rue Jules Guesde, 93140 Bondy, France",,,,Site web/leboncoin,,2026-09-07
Acheter en Espagne: Agence immobilière francophone - gestion et achat immobilier Costa Del Sol,+34 637 38 99 93,,,https://www.acheterlouerenespagne.com/,,Indépendante,"C. Granada, 8, 29649 El Faro, Málaga, Espagne",,,,Site web/leboncoin,,2026-09-07
ACHETERduNEUF 64/40,+33 5 59 55 61 66,,,http://www.acheterduneuf.com/,,Indépendante,"9 Rue de la Négresse, 64200 Biarritz, France",,,,Site web/leboncoin,,2026-09-07
Acor'Immo | Agence Immobilière de Toulon,+33 4 94 01 26 27,,,http://acor.immo/,,Indépendante,"15 Av. Colbert, 83000 Toulon, France",,,,Site web/leboncoin,,2026-09-07
ACS GESTION PRIVEE,+33 1 86 26 18 03,,,http://www.immoneufgp.fr/,,Indépendante,"15-17 Rue Scribe, 75009 Paris, France",,,,Site web/leboncoin,,2026-09-07
Action Habitat,+33 5 61 22 41 41,,,http://www.action-habitat.com/,,Indépendante,"40 Rue du Rempart Saint-Etienne, 31000 Toulouse, France",,,,Site web/leboncoin,,2026-09-07
Actuel Immobilier,+33 1 45 45 30 30,,,http://agences-actuel.fr/,,Indépendante,"84 Rue de Gergovie, 75014 Paris, France",,,,Site web/leboncoin,,2026-09-07
Adéquation Immobilier,+33 4 72 00 87 87,,,http://www.adequation.fr/,,Indépendante,"Le Colbert, 31 Rue Mazenod, 69003 Lyon, France",,,,Site web/leboncoin,,2026-09-07
ADJ GESTION ALFORTVILLE,+33 1 48 83 54 64,,,http://www.adj-gestion.com/,,Indépendante,"42 Rue Émile Zola, 94140 Alfortville, France",,,,Site web/leboncoin,,2026-09-07
ADM IMMOBILIER,+33 1 64 99 35 35,,"Du Lundi au Samedi de 9h30 à 12h - 14h à 18h30. 
Fermé dimanche et jours fériés.",http://admimmo.fr/,Réactivité et disponibilité : M. Antoine Rizzo est salué pour son accompagnement rassurant et rigoureux de bout en bout lors des transactions de vente ou d'achat.Professionnalisme et sourire : Mme Pauline Delagarde (gestion locative) reçoit de nombreuses mentions spéciales pour sa gestion fluide et sa réactivité face aux demandes des locataires et propriétaires.Écoute et pertinence : M. Nicolas Dufour est décrit comme un conseiller patient et particulièrement efficace pour cibler les critères de recherche d'appartements.,Indépendante,"5 Rue de la Ferté Alais, 91720 Maisse, France",Antoine Rizzo,,rizzo.immobilier@gmail.com,Site web/leboncoin,,2026-09-07
ADSL IMMOBILIER,+33 5 56 77 56 77,,,http://location.jimdo.com/,,Indépendante,"20 All. du Champ de Foire, 33240 Saint-André-de-Cubzac, France",,,,Site web/leboncoin,,2026-09-07
